2024-07-16 17:21:54 {'x_pos': 0, 'y_pos': 0, 't_pos': 0, 'x_vel': 0, 'y_vel': 0, 't_vel': 0}
2024-07-16 17:21:55 {'x_pos': 0, 'y_pos': 0, 't_pos': 0, 'x_vel': 0, 'y_vel': 0, 't_vel': 0}
2024-07-16 17:21:56 {'x_pos': 0, 'y_pos': 0, 't_pos': 0, 'x_vel': 0, 'y_vel': 0, 't_vel': 0}
2024-07-16 17:21:57 {'x_pos': 0, 'y_pos': 0, 't_pos': 0, 'x_vel': 0, 'y_vel': 0, 't_vel': 0}
2024-07-16 17:21:58 {'x_pos': 0, 'y_pos': 0, 't_pos': 0, 'x_vel': 0, 'y_vel': 0, 't_vel': 0}
2024-07-16 17:21:59 {'x_pos': 0, 'y_pos': 0, 't_pos': 0, 'x_vel': 0, 'y_vel': 0, 't_vel': 0}
2024-07-16 17:22:01 {'x_pos': -3, 'y_pos': -5, 't_pos': 8312, 'x_vel': 0, 'y_vel': 0, 't_vel': 8630}
2024-07-16 17:22:01 {'yaw': 13, 'pitch': 24, 'roll': 33, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-16 17:22:02 {'x_pos': -3, 'y_pos': -5, 't_pos': 8312, 'x_vel': 0, 'y_vel': 0, 't_vel': 8630}
2024-07-16 17:22:02 {'yaw': 13, 'pitch': 24, 'roll': 33, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-16 17:22:03 {'x_pos': -3, 'y_pos': -5, 't_pos': 8312, 'x_vel': 0, 'y_vel': 0, 't_vel': 8630}
2024-07-16 17:22:03 {'yaw': 13, 'pitch': 24, 'roll': 33, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-16 17:22:04 {'x_pos': -3, 'y_pos': -5, 't_pos': 8312, 'x_vel': 0, 'y_vel': 0, 't_vel': 8630}
2024-07-16 17:22:04 {'yaw': 13, 'pitch': 24, 'roll': 33, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
