2024-07-16 17:43:58 {'x_pos': -1, 'y_pos': 0, 't_pos': -855, 'x_vel': -3, 'y_vel': 1, 't_vel': -296}
2024-07-16 17:43:58 {'yaw': 0, 'pitch': 0, 'roll': 0, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': 0}
2024-07-16 17:43:58 {'x_pos': -1, 'y_pos': 0, 't_pos': -855, 'x_vel': -3, 'y_vel': 1, 't_vel': -296}
2024-07-16 17:43:58 {'yaw': 0, 'pitch': 22, 'roll': 34, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-16 17:43:59 {'x_pos': -1, 'y_pos': 0, 't_pos': -855, 'x_vel': -3, 'y_vel': 1, 't_vel': -296}
2024-07-16 17:43:59 {'yaw': 0, 'pitch': 22, 'roll': 34, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-16 17:43:59 {'x_pos': -1, 'y_pos': 0, 't_pos': -855, 'x_vel': -3, 'y_vel': 1, 't_vel': -296}
2024-07-16 17:43:59 {'yaw': 0, 'pitch': 22, 'roll': 34, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-16 17:43:59 {'x_pos': -1, 'y_pos': 0, 't_pos': -855, 'x_vel': -3, 'y_vel': 1, 't_vel': -296}
2024-07-16 17:43:59 {'yaw': 0, 'pitch': 22, 'roll': 34, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-16 17:43:59 {'x_pos': -1, 'y_pos': 0, 't_pos': -855, 'x_vel': -3, 'y_vel': 1, 't_vel': -296}
2024-07-16 17:43:59 {'yaw': 0, 'pitch': 22, 'roll': 34, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-16 17:43:59 {'x_pos': -1, 'y_pos': 0, 't_pos': -855, 'x_vel': -3, 'y_vel': 1, 't_vel': -296}
2024-07-16 17:43:59 {'yaw': 0, 'pitch': 22, 'roll': 34, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
