2024-07-16 17:47:35 {'x_pos': 363, 'y_pos': 2193, 't_pos': -31081, 'x_vel': -31, 'y_vel': -433, 't_vel': -11468}
2024-07-16 17:47:35 {'yaw': 3568, 'pitch': 26, 'roll': 37, 'x_acceleration': -2, 'y_acceleration': -2, 'z_acceleration': -28}
2024-07-16 17:47:35 {'x_pos': 358, 'y_pos': 2146, 't_pos': 16409, 'x_vel': -31, 'y_vel': -433, 't_vel': -22869}
2024-07-16 17:47:35 None
2024-07-16 17:47:35 {'x_pos': 352, 'y_pos': 2100, 't_pos': -1637, 'x_vel': -31, 'y_vel': -433, 't_vel': 31266}
2024-07-16 17:47:35 {'yaw': 3561, 'pitch': 26, 'roll': 38, 'x_acceleration': -5, 'y_acceleration': -3, 'z_acceleration': -21}
2024-07-16 17:47:35 None
2024-07-16 17:47:35 {'yaw': 3563, 'pitch': 26, 'roll': 37, 'x_acceleration': -1, 'y_acceleration': 1, 'z_acceleration': 11}
2024-07-16 17:47:35 {'x_pos': 338, 'y_pos': 2005, 't_pos': 26547, 'x_vel': -31, 'y_vel': -433, 't_vel': 12243}
2024-07-16 17:47:35 None
2024-07-16 17:47:35 {'x_pos': 331, 'y_pos': 1957, 't_pos': 7781, 'x_vel': -59, 'y_vel': -463, 't_vel': 3006}
2024-07-16 17:47:35 {'yaw': 3567, 'pitch': 27, 'roll': 37, 'x_acceleration': -1, 'y_acceleration': -2, 'z_acceleration': 31}
2024-07-16 17:47:35 {'x_pos': 324, 'y_pos': 1910, 't_pos': -10760, 'x_vel': -59, 'y_vel': -463, 't_vel': -6910}
2024-07-16 17:47:35 {'x_pos': 46, 'y_pos': 4, 't_pos': 3944, 'x_vel': 0, 'y_vel': 0, 't_vel': 21832}
2024-07-16 17:47:35 {'yaw': 3596, 'pitch': 23, 'roll': 35, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-16 17:47:35 {'x_pos': 46, 'y_pos': 4, 't_pos': 4079, 'x_vel': 0, 'y_vel': 0, 't_vel': 21832}
2024-07-16 17:47:35 {'yaw': 3596, 'pitch': 23, 'roll': 35, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-16 17:47:35 {'x_pos': 46, 'y_pos': 4, 't_pos': 4079, 'x_vel': 0, 'y_vel': 0, 't_vel': 21832}
2024-07-16 17:47:35 {'yaw': 3596, 'pitch': 23, 'roll': 35, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-16 17:47:35 {'x_pos': 46, 'y_pos': 4, 't_pos': 4079, 'x_vel': 0, 'y_vel': 0, 't_vel': 21832}
2024-07-16 17:47:35 {'yaw': 3596, 'pitch': 23, 'roll': 35, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -6}
2024-07-16 17:47:35 {'x_pos': 46, 'y_pos': 4, 't_pos': 4079, 'x_vel': 0, 'y_vel': 0, 't_vel': 21832}
2024-07-16 17:47:35 {'yaw': 3596, 'pitch': 23, 'roll': 35, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-16 17:47:35 {'x_pos': 46, 'y_pos': 4, 't_pos': 4079, 'x_vel': 0, 'y_vel': 0, 't_vel': 21832}
2024-07-16 17:47:35 {'yaw': 3596, 'pitch': 23, 'roll': 35, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-16 17:47:35 {'x_pos': 46, 'y_pos': 4, 't_pos': 4079, 'x_vel': 0, 'y_vel': 0, 't_vel': 21832}
2024-07-16 17:47:35 {'yaw': 3596, 'pitch': 23, 'roll': 35, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-16 17:47:35 {'x_pos': 46, 'y_pos': 4, 't_pos': 4079, 'x_vel': 0, 'y_vel': 0, 't_vel': 21832}
2024-07-16 17:47:35 {'yaw': 3596, 'pitch': 23, 'roll': 35, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-16 17:47:35 {'x_pos': 46, 'y_pos': 4, 't_pos': 4079, 'x_vel': 0, 'y_vel': 0, 't_vel': 21832}
2024-07-16 17:47:35 {'yaw': 3596, 'pitch': 23, 'roll': 35, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -4}
2024-07-16 17:47:35 {'x_pos': 46, 'y_pos': 4, 't_pos': 4079, 'x_vel': 0, 'y_vel': 0, 't_vel': 21832}
2024-07-16 17:47:35 {'yaw': 3596, 'pitch': 23, 'roll': 35, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -4}
2024-07-16 17:47:35 {'x_pos': 46, 'y_pos': 4, 't_pos': 4079, 'x_vel': 0, 'y_vel': 0, 't_vel': 21832}
2024-07-16 17:47:35 {'yaw': 3596, 'pitch': 23, 'roll': 35, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-16 17:47:35 {'x_pos': 46, 'y_pos': 4, 't_pos': 4079, 'x_vel': 0, 'y_vel': 0, 't_vel': 21832}
2024-07-16 17:47:35 {'yaw': 3596, 'pitch': 23, 'roll': 35, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-16 17:47:35 {'x_pos': 46, 'y_pos': 4, 't_pos': 4079, 'x_vel': 0, 'y_vel': 0, 't_vel': 21832}
2024-07-16 17:47:35 {'yaw': 3596, 'pitch': 23, 'roll': 35, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-16 17:47:35 {'x_pos': 46, 'y_pos': 4, 't_pos': 4079, 'x_vel': 0, 'y_vel': 0, 't_vel': 21832}
2024-07-16 17:47:35 {'yaw': 3596, 'pitch': 23, 'roll': 35, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-16 17:47:35 {'x_pos': 46, 'y_pos': 4, 't_pos': 4079, 'x_vel': 0, 'y_vel': 0, 't_vel': 21832}
2024-07-16 17:47:35 {'yaw': 3596, 'pitch': 23, 'roll': 35, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-16 17:47:35 {'x_pos': 46, 'y_pos': 4, 't_pos': 4079, 'x_vel': 0, 'y_vel': 0, 't_vel': 21832}
2024-07-16 17:47:35 {'yaw': 3596, 'pitch': 23, 'roll': 35, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
