2024-07-16 17:48:14 {'x_pos': -1928, 'y_pos': -1901, 't_pos': -23582, 'x_vel': 54, 'y_vel': -423, 't_vel': -12116}
2024-07-16 17:48:14 {'yaw': 3586, 'pitch': 19, 'roll': 42, 'x_acceleration': -5, 'y_acceleration': -5, 'z_acceleration': -4}
2024-07-16 17:48:14 {'x_pos': -1927, 'y_pos': -1903, 't_pos': -24888, 'x_vel': 129, 'y_vel': -190, 't_vel': -8222}
2024-07-16 17:48:14 None
2024-07-16 17:48:14 {'x_pos': -1927, 'y_pos': -1903, 't_pos': -25023, 'x_vel': 129, 'y_vel': -190, 't_vel': -7817}
2024-07-16 17:48:14 {'yaw': 3586, 'pitch': 19, 'roll': 42, 'x_acceleration': -1, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-16 17:48:14 None
2024-07-16 17:48:14 {'yaw': 3586, 'pitch': 19, 'roll': 41, 'x_acceleration': -3, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-16 17:48:14 {'x_pos': -1927, 'y_pos': -1903, 't_pos': -25338, 'x_vel': 129, 'y_vel': -190, 't_vel': -6872}
2024-07-16 17:48:14 None
2024-07-16 17:48:14 {'x_pos': -1927, 'y_pos': -1903, 't_pos': -25383, 'x_vel': 1, 'y_vel': -1, 't_vel': -6748}
2024-07-16 17:48:14 {'yaw': 3586, 'pitch': 20, 'roll': 41, 'x_acceleration': -1, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-16 17:48:14 {'x_pos': -1927, 'y_pos': -1903, 't_pos': -25383, 'x_vel': 1, 'y_vel': -1, 't_vel': -6748}
2024-07-16 17:48:14 {'x_pos': 0, 'y_pos': 0, 't_pos': 0, 'x_vel': 0, 'y_vel': 0, 't_vel': 0}
2024-07-16 17:48:14 {'yaw': 0, 'pitch': 0, 'roll': 0, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': 0}
2024-07-16 17:48:14 {'x_pos': 0, 'y_pos': 0, 't_pos': 0, 'x_vel': 0, 'y_vel': 0, 't_vel': 0}
2024-07-16 17:48:14 {'yaw': 3598, 'pitch': 20, 'roll': 33, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-16 17:48:14 {'x_pos': 0, 'y_pos': 0, 't_pos': 0, 'x_vel': 0, 'y_vel': 0, 't_vel': 0}
2024-07-16 17:48:14 {'yaw': 3598, 'pitch': 20, 'roll': 33, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-16 17:48:15 {'x_pos': 0, 'y_pos': 0, 't_pos': 0, 'x_vel': 0, 'y_vel': 0, 't_vel': 0}
2024-07-16 17:48:15 {'yaw': 3598, 'pitch': 20, 'roll': 33, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-16 17:48:15 {'x_pos': 0, 'y_pos': 0, 't_pos': 0, 'x_vel': 0, 'y_vel': 0, 't_vel': 0}
2024-07-16 17:48:15 {'yaw': 3598, 'pitch': 20, 'roll': 33, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-16 17:48:15 {'x_pos': 0, 'y_pos': 0, 't_pos': 0, 'x_vel': 0, 'y_vel': 0, 't_vel': 0}
2024-07-16 17:48:15 {'yaw': 3598, 'pitch': 20, 'roll': 33, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-16 17:48:15 {'x_pos': 0, 'y_pos': 0, 't_pos': 0, 'x_vel': 0, 'y_vel': 0, 't_vel': 0}
2024-07-16 17:48:15 {'yaw': 3598, 'pitch': 20, 'roll': 33, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-16 17:48:15 {'x_pos': 0, 'y_pos': 0, 't_pos': 0, 'x_vel': 0, 'y_vel': 0, 't_vel': 0}
2024-07-16 17:48:15 {'yaw': 3598, 'pitch': 20, 'roll': 33, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-16 17:48:15 {'x_pos': 0, 'y_pos': 0, 't_pos': 0, 'x_vel': 0, 'y_vel': 0, 't_vel': 0}
2024-07-16 17:48:15 {'yaw': 3598, 'pitch': 20, 'roll': 33, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-16 17:48:15 {'x_pos': 0, 'y_pos': 0, 't_pos': 0, 'x_vel': 0, 'y_vel': 0, 't_vel': 0}
2024-07-16 17:48:15 {'yaw': 3598, 'pitch': 20, 'roll': 33, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-16 17:48:15 {'x_pos': 0, 'y_pos': 0, 't_pos': 0, 'x_vel': 0, 'y_vel': 0, 't_vel': 0}
2024-07-16 17:48:15 {'yaw': 3598, 'pitch': 20, 'roll': 33, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-16 17:48:15 {'x_pos': 0, 'y_pos': 0, 't_pos': 0, 'x_vel': 0, 'y_vel': 0, 't_vel': 0}
2024-07-16 17:48:15 {'yaw': 3598, 'pitch': 20, 'roll': 33, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-16 17:48:16 {'x_pos': 0, 'y_pos': 0, 't_pos': 0, 'x_vel': 0, 'y_vel': 0, 't_vel': 0}
2024-07-16 17:48:16 {'yaw': 3598, 'pitch': 20, 'roll': 33, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-16 17:48:16 {'x_pos': 0, 'y_pos': 0, 't_pos': 0, 'x_vel': 0, 'y_vel': 0, 't_vel': 0}
2024-07-16 17:48:16 {'yaw': 3598, 'pitch': 20, 'roll': 33, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-16 17:48:16 {'x_pos': 0, 'y_pos': 0, 't_pos': 0, 'x_vel': 0, 'y_vel': 0, 't_vel': 0}
2024-07-16 17:48:16 {'yaw': 3598, 'pitch': 20, 'roll': 33, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-16 17:48:16 {'x_pos': 0, 'y_pos': 0, 't_pos': 0, 'x_vel': 0, 'y_vel': 0, 't_vel': 0}
2024-07-16 17:48:16 {'yaw': 3598, 'pitch': 20, 'roll': 33, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-16 17:48:16 {'x_pos': 0, 'y_pos': 0, 't_pos': 0, 'x_vel': 0, 'y_vel': 0, 't_vel': 0}
2024-07-16 17:48:16 {'yaw': 3598, 'pitch': 20, 'roll': 33, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-16 17:48:16 {'x_pos': 0, 'y_pos': 0, 't_pos': 0, 'x_vel': 0, 'y_vel': 0, 't_vel': 0}
2024-07-16 17:48:16 {'yaw': 3598, 'pitch': 20, 'roll': 33, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-16 17:48:16 {'x_pos': 0, 'y_pos': 0, 't_pos': 0, 'x_vel': 0, 'y_vel': 0, 't_vel': 0}
2024-07-16 17:48:16 {'yaw': 3598, 'pitch': 20, 'roll': 33, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-16 17:48:16 {'x_pos': 0, 'y_pos': 0, 't_pos': 0, 'x_vel': 0, 'y_vel': 0, 't_vel': 0}
2024-07-16 17:48:16 {'yaw': 3598, 'pitch': 20, 'roll': 33, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-16 17:48:16 {'x_pos': 0, 'y_pos': 0, 't_pos': 0, 'x_vel': 0, 'y_vel': 0, 't_vel': 0}
2024-07-16 17:48:16 {'yaw': 3598, 'pitch': 20, 'roll': 33, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-16 17:48:16 {'x_pos': 0, 'y_pos': 0, 't_pos': 0, 'x_vel': 0, 'y_vel': 0, 't_vel': 0}
2024-07-16 17:48:16 {'yaw': 3598, 'pitch': 20, 'roll': 33, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-16 17:48:17 {'x_pos': 0, 'y_pos': 0, 't_pos': 0, 'x_vel': 0, 'y_vel': 0, 't_vel': 0}
2024-07-16 17:48:17 {'yaw': 3598, 'pitch': 20, 'roll': 33, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-16 17:48:17 {'x_pos': 0, 'y_pos': 0, 't_pos': 0, 'x_vel': 0, 'y_vel': 0, 't_vel': 0}
2024-07-16 17:48:17 {'yaw': 3598, 'pitch': 20, 'roll': 33, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-16 17:48:17 {'x_pos': 0, 'y_pos': 0, 't_pos': 0, 'x_vel': 0, 'y_vel': 0, 't_vel': 0}
2024-07-16 17:48:17 {'yaw': 3598, 'pitch': 20, 'roll': 33, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-16 17:48:17 {'x_pos': 0, 'y_pos': 0, 't_pos': 0, 'x_vel': 0, 'y_vel': 0, 't_vel': 0}
2024-07-16 17:48:17 {'yaw': 3598, 'pitch': 20, 'roll': 33, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-16 17:48:17 {'x_pos': 0, 'y_pos': 0, 't_pos': 0, 'x_vel': 0, 'y_vel': 0, 't_vel': 0}
2024-07-16 17:48:17 {'yaw': 3598, 'pitch': 20, 'roll': 33, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-16 17:48:17 {'x_pos': 0, 'y_pos': 0, 't_pos': 0, 'x_vel': 0, 'y_vel': 0, 't_vel': 0}
2024-07-16 17:48:17 {'yaw': 3598, 'pitch': 20, 'roll': 33, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-16 17:48:17 {'x_pos': 0, 'y_pos': 0, 't_pos': 0, 'x_vel': 0, 'y_vel': 0, 't_vel': 0}
2024-07-16 17:48:17 {'yaw': 3598, 'pitch': 20, 'roll': 33, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-16 17:48:17 {'x_pos': 0, 'y_pos': 0, 't_pos': 0, 'x_vel': 0, 'y_vel': 0, 't_vel': 0}
2024-07-16 17:48:17 {'yaw': 3598, 'pitch': 20, 'roll': 33, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -4}
2024-07-16 17:48:17 {'x_pos': 0, 'y_pos': 0, 't_pos': 0, 'x_vel': 0, 'y_vel': 0, 't_vel': 0}
2024-07-16 17:48:17 {'yaw': 3598, 'pitch': 20, 'roll': 33, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-16 17:48:18 {'x_pos': 0, 'y_pos': 0, 't_pos': 0, 'x_vel': 0, 'y_vel': 0, 't_vel': 0}
2024-07-16 17:48:18 {'yaw': 3598, 'pitch': 20, 'roll': 33, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-16 17:48:18 {'x_pos': 0, 'y_pos': 0, 't_pos': 0, 'x_vel': 0, 'y_vel': 0, 't_vel': 0}
2024-07-16 17:48:18 {'yaw': 3598, 'pitch': 20, 'roll': 33, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-16 17:48:18 {'x_pos': 0, 'y_pos': 0, 't_pos': 0, 'x_vel': 0, 'y_vel': 0, 't_vel': 0}
2024-07-16 17:48:18 {'yaw': 3598, 'pitch': 20, 'roll': 33, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-16 17:48:18 {'x_pos': 0, 'y_pos': 0, 't_pos': 0, 'x_vel': 0, 'y_vel': 0, 't_vel': 0}
2024-07-16 17:48:18 {'yaw': 3598, 'pitch': 20, 'roll': 33, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-16 17:48:18 {'x_pos': 0, 'y_pos': 0, 't_pos': 0, 'x_vel': 0, 'y_vel': 0, 't_vel': 0}
2024-07-16 17:48:18 {'yaw': 3598, 'pitch': 20, 'roll': 33, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-16 17:48:18 {'x_pos': 0, 'y_pos': 0, 't_pos': 0, 'x_vel': 0, 'y_vel': 0, 't_vel': 0}
2024-07-16 17:48:18 {'yaw': 3598, 'pitch': 20, 'roll': 33, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
