2024-07-16 17:51:29 {'x_pos': 0, 'y_pos': 0, 't_pos': 0, 'x_vel': 0, 'y_vel': 0, 't_vel': 0}
2024-07-16 17:51:29 {'yaw': 0, 'pitch': 0, 'roll': 0, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': 0}
2024-07-16 17:51:29 {'x_pos': 0, 'y_pos': 0, 't_pos': 0, 'x_vel': 0, 'y_vel': 0, 't_vel': 0}
2024-07-16 17:51:29 {'yaw': 0, 'pitch': 18, 'roll': 32, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-16 17:51:29 {'x_pos': 0, 'y_pos': 0, 't_pos': 0, 'x_vel': 0, 'y_vel': 0, 't_vel': 0}
2024-07-16 17:51:29 {'yaw': 0, 'pitch': 18, 'roll': 32, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-16 17:51:29 {'x_pos': 0, 'y_pos': 0, 't_pos': 0, 'x_vel': 0, 'y_vel': 0, 't_vel': 0}
2024-07-16 17:51:29 {'yaw': 0, 'pitch': 18, 'roll': 32, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-16 17:51:29 {'x_pos': 0, 'y_pos': 0, 't_pos': 0, 'x_vel': 0, 'y_vel': 0, 't_vel': 0}
2024-07-16 17:51:29 {'yaw': 3600, 'pitch': 18, 'roll': 32, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-16 17:51:29 {'x_pos': 0, 'y_pos': 0, 't_pos': 0, 'x_vel': 0, 'y_vel': 0, 't_vel': 0}
2024-07-16 17:51:29 {'yaw': 3600, 'pitch': 18, 'roll': 32, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -4}
2024-07-16 17:51:30 {'x_pos': 0, 'y_pos': 0, 't_pos': 0, 'x_vel': 0, 'y_vel': 0, 't_vel': 0}
2024-07-16 17:51:30 {'yaw': 3600, 'pitch': 18, 'roll': 32, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-16 17:51:30 {'x_pos': 0, 'y_pos': 0, 't_pos': 0, 'x_vel': 0, 'y_vel': 0, 't_vel': 0}
2024-07-16 17:51:30 {'yaw': 3600, 'pitch': 18, 'roll': 32, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-16 17:51:30 {'x_pos': 0, 'y_pos': 0, 't_pos': 0, 'x_vel': 0, 'y_vel': 0, 't_vel': 0}
2024-07-16 17:51:30 {'yaw': 3600, 'pitch': 18, 'roll': 32, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-16 17:51:30 {'x_pos': 0, 'y_pos': 0, 't_pos': 0, 'x_vel': 0, 'y_vel': 0, 't_vel': 0}
2024-07-16 17:51:30 {'yaw': 3600, 'pitch': 18, 'roll': 32, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-16 17:51:30 {'x_pos': 0, 'y_pos': 0, 't_pos': 0, 'x_vel': 0, 'y_vel': 0, 't_vel': 0}
