2024-07-08 19:58:19 {'temperature': 0, 'humidity': 0, 'current': 141, 'voltage': 0, 'loadcell': 0}
2024-07-08 19:58:19 {'temperature': 0, 'humidity': 0, 'current': 40, 'voltage': 0, 'loadcell': 0}
2024-07-08 19:58:19 {'temperature': 0, 'humidity': 0, 'current': 70, 'voltage': 0, 'loadcell': 0}
2024-07-08 19:58:19 {'temperature': 0, 'humidity': 0, 'current': 77, 'voltage': 0, 'loadcell': 0}
2024-07-08 19:58:19 {'temperature': 0, 'humidity': 0, 'current': 54, 'voltage': 0, 'loadcell': 0}
2024-07-08 19:58:19 {'temperature': 0, 'humidity': 0, 'current': 87, 'voltage': 0, 'loadcell': 0}
2024-07-08 19:58:19 {'temperature': 0, 'humidity': 0, 'current': 77, 'voltage': 0, 'loadcell': 0}
2024-07-08 19:58:19 {'temperature': 0, 'humidity': 0, 'current': 67, 'voltage': 0, 'loadcell': 0}
2024-07-08 19:58:19 {'temperature': 0, 'humidity': 0, 'current': 60, 'voltage': 0, 'loadcell': 0}
2024-07-08 19:58:19 {'temperature': 0, 'humidity': 0, 'current': 67, 'voltage': 0, 'loadcell': 0}
2024-07-08 19:58:19 {'temperature': 0, 'humidity': 0, 'current': 97, 'voltage': 0, 'loadcell': 0}
2024-07-08 19:58:19 {'temperature': 0, 'humidity': 0, 'current': 2, 'voltage': 0, 'loadcell': 0}
2024-07-08 19:58:19 {'temperature': 0, 'humidity': 0, 'current': 60, 'voltage': 0, 'loadcell': 0}
2024-07-08 19:58:19 {'temperature': 0, 'humidity': 0, 'current': 57, 'voltage': 0, 'loadcell': 0}
2024-07-08 19:58:19 {'temperature': 0, 'humidity': 0, 'current': 80, 'voltage': 0, 'loadcell': 0}
2024-07-08 19:58:19 {'temperature': 0, 'humidity': 0, 'current': 74, 'voltage': 0, 'loadcell': 0}
2024-07-08 19:58:19 {'temperature': 0, 'humidity': 0, 'current': 90, 'voltage': 0, 'loadcell': 0}
2024-07-08 19:58:19 {'temperature': 0, 'humidity': 0, 'current': 60, 'voltage': 0, 'loadcell': 0}
2024-07-08 19:58:19 {'temperature': 0, 'humidity': 0, 'current': 43, 'voltage': 0, 'loadcell': 0}
2024-07-08 19:58:19 {'temperature': 0, 'humidity': 0, 'current': 161, 'voltage': 0, 'loadcell': 0}
2024-07-08 19:58:19 {'temperature': 0, 'humidity': 0, 'current': 151, 'voltage': 0, 'loadcell': 0}
2024-07-08 19:58:19 {'temperature': 0, 'humidity': 0, 'current': 55, 'voltage': 0, 'loadcell': 0}
2024-07-08 19:58:19 {'temperature': 0, 'humidity': 0, 'current': 64, 'voltage': 0, 'loadcell': 0}
2024-07-08 19:58:19 {'temperature': 0, 'humidity': 0, 'current': 74, 'voltage': 0, 'loadcell': 0}
2024-07-08 19:58:19 {'temperature': 0, 'humidity': 0, 'current': 60, 'voltage': 0, 'loadcell': 0}
2024-07-08 19:58:19 {'temperature': 0, 'humidity': 0, 'current': 67, 'voltage': 0, 'loadcell': 0}
2024-07-08 19:58:19 {'temperature': 0, 'humidity': 0, 'current': 43, 'voltage': 0, 'loadcell': 0}
2024-07-08 19:58:19 {'temperature': 0, 'humidity': 0, 'current': 141, 'voltage': 0, 'loadcell': 0}
2024-07-08 19:58:19 {'temperature': 0, 'humidity': 0, 'current': 40, 'voltage': 0, 'loadcell': 0}
2024-07-08 19:58:19 {'temperature': 0, 'humidity': 0, 'current': 70, 'voltage': 0, 'loadcell': 0}
2024-07-08 19:58:19 {'temperature': 0, 'humidity': 0, 'current': 80, 'voltage': 0, 'loadcell': 0}
2024-07-08 19:58:19 {'temperature': 0, 'humidity': 0, 'current': 54, 'voltage': 0, 'loadcell': 0}
2024-07-08 19:58:19 {'temperature': 0, 'humidity': 0, 'current': 43, 'voltage': 0, 'loadcell': 0}
2024-07-08 19:58:19 {'temperature': 0, 'humidity': 0, 'current': 54, 'voltage': 0, 'loadcell': 0}
2024-07-08 19:58:19 {'temperature': 0, 'humidity': 0, 'current': 54, 'voltage': 0, 'loadcell': 0}
2024-07-08 19:58:20 {'temperature': 0, 'humidity': 0, 'current': 7, 'voltage': 0, 'loadcell': 0}
2024-07-08 19:58:20 {'temperature': 0, 'humidity': 0, 'current': 57, 'voltage': 0, 'loadcell': 0}
