2024-07-12 19:23:01 {'yaw': 0, 'pitch': 0, 'roll': 0, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': 0}
2024-07-12 19:23:01 {'yaw': 0, 'pitch': 0, 'roll': 0, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': 0}
2024-07-12 19:23:01 {'yaw': 0, 'pitch': 0, 'roll': 0, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': 0}
2024-07-12 19:23:01 {'yaw': 0, 'pitch': 0, 'roll': 0, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': 0}
2024-07-12 19:23:01 {'yaw': 0, 'pitch': 0, 'roll': 0, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': 0}
2024-07-12 19:23:01 {'yaw': 0, 'pitch': 0, 'roll': 0, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': 0}
2024-07-12 19:23:01 {'yaw': 0, 'pitch': 0, 'roll': 0, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': 0}
2024-07-12 19:23:01 {'yaw': 0, 'pitch': 0, 'roll': 0, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': 0}
2024-07-12 19:23:01 {'yaw': 0, 'pitch': 0, 'roll': 0, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': 0}
2024-07-12 19:23:01 {'yaw': 1, 'pitch': 20, 'roll': 31, 'x_acceleration': -2, 'y_acceleration': -3, 'z_acceleration': -6}
2024-07-12 19:23:01 {'yaw': 3, 'pitch': 20, 'roll': 31, 'x_acceleration': -1, 'y_acceleration': -1, 'z_acceleration': -2}
2024-07-12 19:23:01 {'yaw': 3, 'pitch': 20, 'roll': 31, 'x_acceleration': -1, 'y_acceleration': -1, 'z_acceleration': -2}
2024-07-12 19:23:01 {'yaw': 4, 'pitch': 20, 'roll': 31, 'x_acceleration': -2, 'y_acceleration': 0, 'z_acceleration': -6}
2024-07-12 19:23:01 {'yaw': 4, 'pitch': 20, 'roll': 31, 'x_acceleration': -2, 'y_acceleration': 0, 'z_acceleration': -6}
2024-07-12 19:23:01 {'yaw': 5, 'pitch': 20, 'roll': 31, 'x_acceleration': 1, 'y_acceleration': 0, 'z_acceleration': -3}
2024-07-12 19:23:01 {'yaw': 5, 'pitch': 20, 'roll': 31, 'x_acceleration': 2, 'y_acceleration': 3, 'z_acceleration': -8}
2024-07-12 19:23:01 {'yaw': 6, 'pitch': 20, 'roll': 31, 'x_acceleration': 2, 'y_acceleration': 3, 'z_acceleration': -8}
2024-07-12 19:23:01 {'yaw': 7, 'pitch': 20, 'roll': 31, 'x_acceleration': 3, 'y_acceleration': 2, 'z_acceleration': -6}
2024-07-12 19:23:01 {'yaw': 7, 'pitch': 20, 'roll': 31, 'x_acceleration': 3, 'y_acceleration': 2, 'z_acceleration': -6}
2024-07-12 19:23:01 {'yaw': 7, 'pitch': 20, 'roll': 31, 'x_acceleration': 4, 'y_acceleration': 0, 'z_acceleration': -9}
2024-07-12 19:23:01 {'yaw': 7, 'pitch': 20, 'roll': 31, 'x_acceleration': 1, 'y_acceleration': 0, 'z_acceleration': 0}
2024-07-12 19:23:01 {'yaw': 6, 'pitch': 20, 'roll': 31, 'x_acceleration': 1, 'y_acceleration': 0, 'z_acceleration': 0}
2024-07-12 19:23:01 {'yaw': 5, 'pitch': 20, 'roll': 31, 'x_acceleration': 1, 'y_acceleration': -2, 'z_acceleration': 0}
2024-07-12 19:23:01 {'yaw': 5, 'pitch': 20, 'roll': 31, 'x_acceleration': 1, 'y_acceleration': -2, 'z_acceleration': 0}
2024-07-12 19:23:01 {'yaw': 3, 'pitch': 20, 'roll': 32, 'x_acceleration': 0, 'y_acceleration': -1, 'z_acceleration': 0}
2024-07-12 19:23:01 {'yaw': 1, 'pitch': 20, 'roll': 32, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -2}
2024-07-12 19:23:01 {'yaw': 1, 'pitch': 20, 'roll': 32, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -2}
2024-07-12 19:23:01 {'yaw': 3598, 'pitch': 20, 'roll': 32, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-12 19:23:01 {'yaw': 3598, 'pitch': 20, 'roll': 32, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-12 19:23:01 {'yaw': 3596, 'pitch': 20, 'roll': 33, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-12 19:23:01 {'yaw': 3594, 'pitch': 20, 'roll': 33, 'x_acceleration': 1, 'y_acceleration': 0, 'z_acceleration': -4}
2024-07-12 19:23:01 {'yaw': 3594, 'pitch': 20, 'roll': 33, 'x_acceleration': 1, 'y_acceleration': 0, 'z_acceleration': -4}
2024-07-12 19:23:01 {'yaw': 3592, 'pitch': 20, 'roll': 33, 'x_acceleration': 1, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-12 19:23:01 {'yaw': 3592, 'pitch': 20, 'roll': 33, 'x_acceleration': 1, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-12 19:23:01 {'yaw': 3590, 'pitch': 20, 'roll': 33, 'x_acceleration': 1, 'y_acceleration': 0, 'z_acceleration': -6}
