2024-07-08 19:38:44 {'temperature': 0, 'humidity': 0, 'current': 130, 'voltage': 0, 'loadcell': 0}
2024-07-08 19:38:44 {'temperature': 0, 'humidity': 0, 'current': 133, 'voltage': 0, 'loadcell': 0}
2024-07-08 19:38:44 {'temperature': 0, 'humidity': 0, 'current': 140, 'voltage': 0, 'loadcell': 0}
2024-07-08 19:38:45 {'temperature': 0, 'humidity': 0, 'current': 140, 'voltage': 0, 'loadcell': 0}
2024-07-08 19:38:45 {'temperature': 0, 'humidity': 0, 'current': 130, 'voltage': 0, 'loadcell': 0}
2024-07-08 19:38:45 {'temperature': 0, 'humidity': 0, 'current': 103, 'voltage': 0, 'loadcell': 0}
2024-07-08 19:38:45 {'temperature': 0, 'humidity': 0, 'current': 120, 'voltage': 0, 'loadcell': 0}
2024-07-08 19:38:45 {'temperature': 0, 'humidity': 0, 'current': 120, 'voltage': 0, 'loadcell': 0}
2024-07-08 19:38:46 {'temperature': 0, 'humidity': 0, 'current': 92, 'voltage': 0, 'loadcell': 0}
2024-07-08 19:38:46 {'temperature': 0, 'humidity': 0, 'current': 50, 'voltage': 0, 'loadcell': 0}
2024-07-08 19:38:46 {'temperature': 0, 'humidity': 0, 'current': 127, 'voltage': 0, 'loadcell': 0}
2024-07-08 19:38:46 {'temperature': 0, 'humidity': 0, 'current': 137, 'voltage': 0, 'loadcell': 0}
2024-07-08 19:38:46 {'temperature': 0, 'humidity': 0, 'current': 123, 'voltage': 0, 'loadcell': 0}
2024-07-08 19:38:47 {'temperature': 0, 'humidity': 0, 'current': 133, 'voltage': 0, 'loadcell': 0}
2024-07-08 19:38:47 {'temperature': 0, 'humidity': 0, 'current': 127, 'voltage': 0, 'loadcell': 0}
2024-07-08 19:38:47 {'temperature': 0, 'humidity': 0, 'current': 143, 'voltage': 0, 'loadcell': 0}
2024-07-08 19:38:47 {'temperature': 0, 'humidity': 0, 'current': 120, 'voltage': 0, 'loadcell': 0}
2024-07-08 19:38:47 {'temperature': 0, 'humidity': 0, 'current': 107, 'voltage': 0, 'loadcell': 0}
2024-07-08 19:38:48 {'temperature': 0, 'humidity': 0, 'current': 47, 'voltage': 0, 'loadcell': 0}
2024-07-08 19:38:48 {'temperature': 0, 'humidity': 0, 'current': 130, 'voltage': 0, 'loadcell': 0}
2024-07-08 19:38:48 {'temperature': 0, 'humidity': 0, 'current': 110, 'voltage': 0, 'loadcell': 0}
2024-07-08 19:38:48 {'temperature': 0, 'humidity': 0, 'current': 130, 'voltage': 0, 'loadcell': 0}
2024-07-08 19:38:48 {'temperature': 0, 'humidity': 0, 'current': 140, 'voltage': 0, 'loadcell': 0}
2024-07-08 19:38:49 {'temperature': 0, 'humidity': 0, 'current': 127, 'voltage': 0, 'loadcell': 0}
2024-07-08 19:38:49 {'temperature': 0, 'humidity': 0, 'current': 127, 'voltage': 0, 'loadcell': 0}
2024-07-08 19:38:49 {'temperature': 0, 'humidity': 0, 'current': 130, 'voltage': 0, 'loadcell': 0}
2024-07-08 19:38:49 {'temperature': 0, 'humidity': 0, 'current': 137, 'voltage': 0, 'loadcell': 0}
2024-07-08 19:38:49 {'temperature': 0, 'humidity': 0, 'current': 105, 'voltage': 0, 'loadcell': 0}
2024-07-08 19:38:50 {'temperature': 0, 'humidity': 0, 'current': 123, 'voltage': 0, 'loadcell': 0}
2024-07-08 19:38:50 {'temperature': 0, 'humidity': 0, 'current': 93, 'voltage': 0, 'loadcell': 0}
2024-07-08 19:38:50 {'temperature': 0, 'humidity': 0, 'current': 120, 'voltage': 0, 'loadcell': 0}
2024-07-08 19:38:50 {'temperature': 0, 'humidity': 0, 'current': 120, 'voltage': 0, 'loadcell': 0}
2024-07-08 19:38:50 {'temperature': 0, 'humidity': 0, 'current': 103, 'voltage': 0, 'loadcell': 0}
2024-07-08 19:38:51 {'temperature': 0, 'humidity': 0, 'current': 87, 'voltage': 0, 'loadcell': 0}
2024-07-08 19:38:51 {'temperature': 0, 'humidity': 0, 'current': 113, 'voltage': 0, 'loadcell': 0}
2024-07-08 19:38:51 {'temperature': 0, 'humidity': 0, 'current': 130, 'voltage': 0, 'loadcell': 0}
2024-07-08 19:38:51 {'temperature': 0, 'humidity': 0, 'current': 113, 'voltage': 0, 'loadcell': 0}
2024-07-08 19:38:51 {'temperature': 0, 'humidity': 0, 'current': 120, 'voltage': 0, 'loadcell': 0}
2024-07-08 19:38:52 {'temperature': 0, 'humidity': 0, 'current': 107, 'voltage': 0, 'loadcell': 0}
2024-07-08 19:38:52 {'temperature': 0, 'humidity': 0, 'current': 110, 'voltage': 0, 'loadcell': 0}
2024-07-08 19:38:52 {'temperature': 0, 'humidity': 0, 'current': 120, 'voltage': 0, 'loadcell': 0}
2024-07-08 19:38:52 {'temperature': 0, 'humidity': 0, 'current': 133, 'voltage': 0, 'loadcell': 0}
2024-07-08 19:38:52 {'temperature': 0, 'humidity': 0, 'current': 103, 'voltage': 0, 'loadcell': 0}
2024-07-08 19:38:53 {'temperature': 0, 'humidity': 0, 'current': 117, 'voltage': 0, 'loadcell': 0}
2024-07-08 19:38:53 {'temperature': 0, 'humidity': 0, 'current': 53, 'voltage': 0, 'loadcell': 0}
2024-07-08 19:38:53 {'temperature': 0, 'humidity': 0, 'current': 100, 'voltage': 0, 'loadcell': 0}
2024-07-08 19:38:53 {'temperature': 0, 'humidity': 0, 'current': 123, 'voltage': 0, 'loadcell': 0}
2024-07-08 19:38:53 {'temperature': 0, 'humidity': 0, 'current': 113, 'voltage': 0, 'loadcell': 0}
