2024-07-04 18:32:25 {'x_pos': 0, 'y_pos': 0, 't_pos': 0, 'x_vel': 0, 'y_vel': 0, 't_vel': 0}
2024-07-04 18:32:25 {'yaw': 0, 'pitch': 0, 'roll': 0, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': 0}
2024-07-04 18:32:25 {'x_pos': 0, 'y_pos': 0, 't_pos': 0, 'x_vel': 0, 'y_vel': 0, 't_vel': 0}
2024-07-04 18:32:25 {'yaw': 0, 'pitch': 0, 'roll': 0, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': 0}
2024-07-04 18:32:25 {'x_pos': 0, 'y_pos': 0, 't_pos': 0, 'x_vel': 0, 'y_vel': 0, 't_vel': 0}
2024-07-04 18:32:25 {'yaw': 0, 'pitch': 0, 'roll': 0, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': 0}
2024-07-04 18:32:25 {'x_pos': 0, 'y_pos': 0, 't_pos': 0, 'x_vel': 0, 'y_vel': 0, 't_vel': 0}
2024-07-04 18:32:25 {'yaw': 0, 'pitch': 0, 'roll': 0, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': 0}
2024-07-04 18:32:25 {'x_pos': 0, 'y_pos': 0, 't_pos': 0, 'x_vel': 0, 'y_vel': 0, 't_vel': 0}
2024-07-04 18:32:25 {'yaw': 0, 'pitch': 0, 'roll': 0, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': 0}
2024-07-04 18:32:25 {'x_pos': 0, 'y_pos': 0, 't_pos': 0, 'x_vel': 0, 'y_vel': 0, 't_vel': 0}
2024-07-04 18:32:25 {'yaw': 0, 'pitch': 0, 'roll': 0, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': 0}
2024-07-04 18:32:25 {'x_pos': 0, 'y_pos': 0, 't_pos': 0, 'x_vel': 0, 'y_vel': 0, 't_vel': 0}
2024-07-04 18:32:25 {'yaw': 0, 'pitch': 0, 'roll': 0, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': 0}
2024-07-04 18:32:25 {'x_pos': 0, 'y_pos': 0, 't_pos': 0, 'x_vel': 0, 'y_vel': 0, 't_vel': 0}
2024-07-04 18:32:25 {'yaw': 3420, 'pitch': 6, 'roll': 1, 'x_acceleration': 20, 'y_acceleration': 8, 'z_acceleration': 19}
2024-07-04 18:32:25 {'x_pos': 0, 'y_pos': 0, 't_pos': 0, 'x_vel': 0, 'y_vel': 0, 't_vel': 0}
2024-07-04 18:32:25 {'yaw': 3415, 'pitch': 7, 'roll': 0, 'x_acceleration': 3, 'y_acceleration': 21, 'z_acceleration': -10}
2024-07-04 18:32:25 {'x_pos': 0, 'y_pos': 0, 't_pos': 0, 'x_vel': 0, 'y_vel': 0, 't_vel': 0}
2024-07-04 18:32:25 {'yaw': 3409, 'pitch': 5, 'roll': 0, 'x_acceleration': -9, 'y_acceleration': 4, 'z_acceleration': -34}
2024-07-04 18:32:25 {'x_pos': 0, 'y_pos': 0, 't_pos': 0, 'x_vel': 0, 'y_vel': 0, 't_vel': 0}
2024-07-04 18:32:25 {'yaw': 3409, 'pitch': 5, 'roll': 0, 'x_acceleration': 12, 'y_acceleration': -27, 'z_acceleration': -17}
2024-07-04 18:32:25 {'x_pos': 0, 'y_pos': 0, 't_pos': 0, 'x_vel': 0, 'y_vel': 0, 't_vel': 0}
2024-07-04 18:32:25 {'yaw': 3403, 'pitch': 4, 'roll': 1, 'x_acceleration': 12, 'y_acceleration': -27, 'z_acceleration': -17}
2024-07-04 18:32:25 {'x_pos': 0, 'y_pos': 0, 't_pos': 0, 'x_vel': 0, 'y_vel': 0, 't_vel': 0}
2024-07-04 18:32:25 {'yaw': 3398, 'pitch': 6, 'roll': 1, 'x_acceleration': 14, 'y_acceleration': -3, 'z_acceleration': -2}
2024-07-04 18:32:25 {'x_pos': 0, 'y_pos': 0, 't_pos': 0, 'x_vel': 0, 'y_vel': 0, 't_vel': 0}
2024-07-04 18:32:25 {'yaw': 3393, 'pitch': 7, 'roll': 1, 'x_acceleration': 11, 'y_acceleration': 8, 'z_acceleration': 8}
2024-07-04 18:32:25 {'x_pos': 0, 'y_pos': 0, 't_pos': 0, 'x_vel': 0, 'y_vel': 0, 't_vel': 0}
2024-07-04 18:32:25 {'yaw': 3388, 'pitch': 7, 'roll': 2, 'x_acceleration': 8, 'y_acceleration': 9, 'z_acceleration': -9}
