2024-07-07 20:38:45 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 1188, 'loadcell': 0}
2024-07-07 20:38:46 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 1195, 'loadcell': 0}
2024-07-07 20:38:47 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 1198, 'loadcell': 0}
2024-07-07 20:38:48 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 1189, 'loadcell': 0}
2024-07-07 20:38:49 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 1189, 'loadcell': 0}
2024-07-07 20:38:50 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 1189, 'loadcell': 0}
2024-07-07 20:38:51 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 1189, 'loadcell': 0}
2024-07-07 20:38:52 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 1185, 'loadcell': 0}
2024-07-07 20:38:53 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 1177, 'loadcell': 0}
2024-07-07 20:38:54 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 1158, 'loadcell': 0}
2024-07-07 20:38:55 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 1180, 'loadcell': 0}
2024-07-07 20:38:56 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 1175, 'loadcell': 0}
2024-07-07 20:38:57 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 1181, 'loadcell': 0}
2024-07-07 20:38:58 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 1189, 'loadcell': 0}
2024-07-07 20:38:59 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 1187, 'loadcell': 0}
2024-07-07 20:39:00 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 1189, 'loadcell': 0}
2024-07-07 20:39:01 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 1186, 'loadcell': 0}
2024-07-07 20:39:02 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 1187, 'loadcell': 0}
2024-07-07 20:39:03 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 1177, 'loadcell': 0}
2024-07-07 20:39:04 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 1185, 'loadcell': 0}
2024-07-07 20:39:05 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 1149, 'loadcell': 0}
2024-07-07 20:39:06 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 1179, 'loadcell': 0}
2024-07-07 20:39:07 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 1179, 'loadcell': 0}
2024-07-07 20:39:08 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 1181, 'loadcell': 0}
2024-07-07 20:39:09 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 1188, 'loadcell': 0}
2024-07-07 20:39:10 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 1183, 'loadcell': 0}
2024-07-07 20:39:11 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 1204, 'loadcell': 0}
2024-07-07 20:39:12 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 1187, 'loadcell': 0}
2024-07-07 20:39:13 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 1188, 'loadcell': 0}
2024-07-07 20:39:14 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 1189, 'loadcell': 0}
2024-07-07 20:39:15 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 1185, 'loadcell': 0}
2024-07-07 20:39:16 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 1174, 'loadcell': 0}
2024-07-07 20:39:17 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 1189, 'loadcell': 0}
2024-07-07 20:39:18 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 1187, 'loadcell': 0}
2024-07-07 20:39:19 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 1158, 'loadcell': 0}
2024-07-07 20:39:20 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 1185, 'loadcell': 0}
