2024-07-07 20:40:07 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 1476, 'loadcell': 0}
2024-07-07 20:40:08 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 1477, 'loadcell': 0}
2024-07-07 20:40:09 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 1470, 'loadcell': 0}
2024-07-07 20:40:10 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 1470, 'loadcell': 0}
2024-07-07 20:40:11 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 1469, 'loadcell': 0}
2024-07-07 20:40:12 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 1486, 'loadcell': 0}
2024-07-07 20:40:13 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 1469, 'loadcell': 0}
2024-07-07 20:40:14 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 1462, 'loadcell': 0}
2024-07-07 20:40:15 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 1462, 'loadcell': 0}
2024-07-07 20:40:16 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 1478, 'loadcell': 0}
2024-07-07 20:40:17 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 1467, 'loadcell': 0}
2024-07-07 20:40:18 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 1478, 'loadcell': 0}
2024-07-07 20:40:19 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 1470, 'loadcell': 0}
2024-07-07 20:40:20 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 1462, 'loadcell': 0}
2024-07-07 20:40:21 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 1457, 'loadcell': 0}
2024-07-07 20:40:22 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 1462, 'loadcell': 0}
2024-07-07 20:40:23 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 1478, 'loadcell': 0}
2024-07-07 20:40:24 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 1469, 'loadcell': 0}
