2024-07-07 20:16:43 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 881, 'loadcell': 0}
2024-07-07 20:16:44 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 887, 'loadcell': 0}
2024-07-07 20:16:45 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 870, 'loadcell': 0}
2024-07-07 20:16:46 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 884, 'loadcell': 0}
2024-07-07 20:16:47 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 874, 'loadcell': 0}
2024-07-07 20:16:48 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 878, 'loadcell': 0}
2024-07-07 20:16:49 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 874, 'loadcell': 0}
2024-07-07 20:16:50 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 882, 'loadcell': 0}
2024-07-07 20:16:51 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 878, 'loadcell': 0}
2024-07-07 20:16:52 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 876, 'loadcell': 0}
2024-07-07 20:16:53 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 878, 'loadcell': 0}
2024-07-07 20:16:54 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 876, 'loadcell': 0}
2024-07-07 20:16:55 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 883, 'loadcell': 0}
2024-07-07 20:16:56 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 905, 'loadcell': 0}
2024-07-07 20:16:57 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 884, 'loadcell': 0}
2024-07-07 20:16:58 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 882, 'loadcell': 0}
2024-07-07 20:16:59 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 872, 'loadcell': 0}
2024-07-07 20:17:00 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 883, 'loadcell': 0}
2024-07-07 20:17:01 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 874, 'loadcell': 0}
2024-07-07 20:17:02 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 880, 'loadcell': 0}
2024-07-07 20:17:03 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 874, 'loadcell': 0}
2024-07-07 20:17:04 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 878, 'loadcell': 0}
2024-07-07 20:17:05 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 878, 'loadcell': 0}
2024-07-07 20:17:06 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 880, 'loadcell': 0}
2024-07-07 20:17:07 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 869, 'loadcell': 0}
2024-07-07 20:17:08 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 882, 'loadcell': 0}
2024-07-07 20:17:09 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 881, 'loadcell': 0}
2024-07-07 20:17:10 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 879, 'loadcell': 0}
