2024-07-07 16:58:39 {'temperature': 5575, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:58:39 {'temperature': 5600, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:58:39 {'temperature': 5575, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:58:39 {'temperature': 5550, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:58:39 {'temperature': 5575, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:58:39 {'temperature': 5575, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:58:39 {'temperature': 5550, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:58:39 {'temperature': 5575, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:58:39 {'temperature': 5600, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:58:39 {'temperature': 5575, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:58:39 {'temperature': 5600, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:58:39 {'temperature': 5600, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:58:39 {'temperature': 5600, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:58:39 {'temperature': 5600, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:58:39 {'temperature': 5600, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:58:39 {'temperature': 5575, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:58:39 {'temperature': 5550, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:58:39 {'temperature': 5575, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:58:39 {'temperature': 5600, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:58:39 {'temperature': 5575, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:58:39 {'temperature': 5600, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:58:39 {'temperature': 5575, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:58:39 {'temperature': 5600, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:58:39 {'temperature': 5525, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:58:39 {'temperature': 5600, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:58:39 {'temperature': 5550, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:58:39 {'temperature': 5550, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:58:39 {'temperature': 5600, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:58:39 {'temperature': 5525, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:58:39 {'temperature': 5600, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:58:39 {'temperature': 5575, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:58:39 {'temperature': 5600, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:58:39 {'temperature': 5600, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:58:39 {'temperature': 5575, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:58:39 {'temperature': 5575, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:58:39 {'temperature': 5575, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:58:39 {'temperature': 5575, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:58:39 {'temperature': 5600, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:58:39 {'temperature': 5575, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:58:39 {'temperature': 5575, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:58:39 {'temperature': 5550, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:58:39 {'temperature': 5575, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:58:39 {'temperature': 5525, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:58:39 {'temperature': 5550, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:58:39 {'temperature': 5575, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:58:39 {'temperature': 5575, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:58:39 {'temperature': 5550, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:58:39 {'temperature': 5550, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:58:39 {'temperature': 5550, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:58:39 {'temperature': 5500, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:58:39 {'temperature': 5550, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:58:39 {'temperature': 5550, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:58:39 {'temperature': 5550, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:58:39 {'temperature': 5550, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:58:40 {'temperature': 5525, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:58:40 {'temperature': 5500, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:58:40 {'temperature': 5525, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:58:40 {'temperature': 5525, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:58:41 {'temperature': 5550, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:58:41 {'temperature': 5550, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:58:41 {'temperature': 5550, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:58:41 {'temperature': 5550, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:58:42 {'temperature': 5575, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:58:42 {'temperature': 5550, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:58:42 {'temperature': 5575, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:58:42 {'temperature': 5550, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:58:43 {'temperature': 5550, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:58:43 {'temperature': 5550, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:58:43 {'temperature': 5525, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:58:43 {'temperature': 5500, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:58:44 {'temperature': 5550, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:58:44 {'temperature': 5550, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:58:44 {'temperature': 5525, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:58:44 {'temperature': 5525, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:58:45 {'temperature': 5575, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:58:45 {'temperature': 5550, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:58:45 {'temperature': 5525, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:58:45 {'temperature': 5550, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:58:46 {'temperature': 5500, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:58:46 {'temperature': 5475, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:58:46 {'temperature': 5525, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:58:46 {'temperature': 5475, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:58:47 {'temperature': 5550, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:58:47 {'temperature': 5550, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:58:47 {'temperature': 5525, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:58:47 {'temperature': 5500, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:58:48 {'temperature': 5475, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:58:48 {'temperature': 5525, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:58:48 {'temperature': 5500, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:58:48 {'temperature': 5550, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:58:49 {'temperature': 5525, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:58:49 {'temperature': 5550, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:58:49 {'temperature': 5450, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:58:49 {'temperature': 5550, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:58:50 {'temperature': 5500, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:58:50 {'temperature': 5550, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:58:50 {'temperature': 5550, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:58:50 {'temperature': 5525, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:58:51 {'temperature': 5475, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:58:51 {'temperature': 5500, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:58:51 {'temperature': 5500, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:58:51 {'temperature': 5500, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:58:52 {'temperature': 5525, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:58:52 {'temperature': 5500, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:58:52 {'temperature': 5500, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:58:52 {'temperature': 5525, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:58:53 {'temperature': 5475, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:58:53 {'temperature': 5475, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:58:53 {'temperature': 5550, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:58:53 {'temperature': 5525, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:58:54 {'temperature': 5525, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:58:54 {'temperature': 5525, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:58:54 {'temperature': 5425, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:58:54 {'temperature': 5500, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:58:55 {'temperature': 5450, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:58:55 {'temperature': 5450, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:58:55 {'temperature': 5525, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:58:55 {'temperature': 5525, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:58:56 {'temperature': 5450, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:58:56 {'temperature': 5525, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:58:56 {'temperature': 5475, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:58:56 {'temperature': 5550, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:58:57 {'temperature': 5525, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:58:57 {'temperature': 5525, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:58:57 {'temperature': 5475, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:58:57 {'temperature': 5500, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:58:58 {'temperature': 5550, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:58:58 {'temperature': 5425, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:58:58 {'temperature': 5450, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:58:58 {'temperature': 5525, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:58:59 {'temperature': 5475, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:58:59 {'temperature': 5525, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:58:59 {'temperature': 5475, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:58:59 {'temperature': 5525, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:59:00 {'temperature': 5525, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:59:00 {'temperature': 5500, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:59:00 {'temperature': 5475, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:59:00 {'temperature': 5500, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:59:00 {'temperature': 5525, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:59:01 {'temperature': 5500, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:59:01 {'temperature': 5500, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:59:01 {'temperature': 5475, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:59:01 {'temperature': 5500, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:59:02 {'temperature': 5475, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:59:02 {'temperature': 5525, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:59:02 {'temperature': 5475, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:59:02 {'temperature': 5525, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:59:03 {'temperature': 5525, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:59:03 {'temperature': 5450, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:59:03 {'temperature': 5525, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:59:03 {'temperature': 5500, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:59:04 {'temperature': 5500, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:59:04 {'temperature': 5475, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:59:04 {'temperature': 5500, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:59:04 {'temperature': 5525, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:59:05 {'temperature': 5500, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:59:05 {'temperature': 5475, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:59:05 {'temperature': 5475, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:59:05 {'temperature': 5475, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:59:06 {'temperature': 5500, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:59:06 {'temperature': 5475, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:59:06 {'temperature': 5475, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:59:06 {'temperature': 5425, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:59:07 {'temperature': 5450, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:59:07 {'temperature': 5425, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:59:07 {'temperature': 5450, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:59:07 {'temperature': 5500, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:59:08 {'temperature': 5400, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:59:08 {'temperature': 5475, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:59:08 {'temperature': 5450, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:59:08 {'temperature': 5500, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:59:09 {'temperature': 5500, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:59:09 {'temperature': 5500, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:59:09 {'temperature': 5475, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:59:09 {'temperature': 5425, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:59:10 {'temperature': 5450, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:59:10 {'temperature': 5450, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:59:10 {'temperature': 5500, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:59:10 {'temperature': 5475, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:59:11 {'temperature': 5475, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:59:11 {'temperature': 5450, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:59:11 {'temperature': 5400, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:59:11 {'temperature': 5475, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:59:12 {'temperature': 5500, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:59:12 {'temperature': 5450, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:59:12 {'temperature': 5450, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:59:12 {'temperature': 5475, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:59:13 {'temperature': 5475, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:59:13 {'temperature': 5475, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:59:13 {'temperature': 5450, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:59:13 {'temperature': 5450, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:59:14 {'temperature': 5475, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 16:59:14 {'temperature': 5475, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
