2024-07-07 17:20:11 {'temperature': 52928, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:20:11 {'temperature': 6925, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:20:11 {'temperature': 6875, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:20:11 {'temperature': 6925, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:20:11 {'temperature': 6925, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:20:11 {'temperature': 6925, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:20:11 {'temperature': 6925, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:20:11 {'temperature': 6900, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:20:11 {'temperature': 6950, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:20:11 {'temperature': 6950, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:20:11 {'temperature': 6900, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:20:11 {'temperature': 6925, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:20:11 {'temperature': 6900, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:20:11 {'temperature': 6925, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:20:11 {'temperature': 6875, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:20:11 {'temperature': 6950, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:20:11 {'temperature': 6925, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:20:11 {'temperature': 6925, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:20:11 {'temperature': 6900, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:20:11 {'temperature': 6950, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:20:11 {'temperature': 6900, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:20:11 {'temperature': 6925, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:20:11 {'temperature': 6900, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:20:11 {'temperature': 6925, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:20:11 {'temperature': 6925, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:20:11 {'temperature': 6925, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:20:11 {'temperature': 6925, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:20:11 {'temperature': 6875, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:20:11 {'temperature': 6925, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:20:12 {'temperature': 6975, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:20:12 {'temperature': 6975, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:20:12 {'temperature': 6950, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:20:12 {'temperature': 7025, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:20:13 {'temperature': 7025, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:20:13 {'temperature': 7050, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:20:13 {'temperature': 7175, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:20:13 {'temperature': 7225, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:20:14 {'temperature': 7300, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:20:14 {'temperature': 7350, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:20:14 {'temperature': 7400, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:20:14 {'temperature': 7425, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:20:15 {'temperature': 7475, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:20:15 {'temperature': 7500, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:20:15 {'temperature': 7525, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:20:15 {'temperature': 7600, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:20:16 {'temperature': 7600, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:20:16 {'temperature': 7650, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:20:16 {'temperature': 7675, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:20:16 {'temperature': 7700, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:20:17 {'temperature': 7725, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:20:17 {'temperature': 7750, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:20:17 {'temperature': 7800, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:20:17 {'temperature': 7750, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:20:18 {'temperature': 7850, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:20:18 {'temperature': 7850, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:20:18 {'temperature': 7900, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:20:18 {'temperature': 7925, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:20:19 {'temperature': 7875, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:20:19 {'temperature': 7925, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:20:19 {'temperature': 7950, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:20:19 {'temperature': 7975, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:20:20 {'temperature': 7975, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:20:20 {'temperature': 7975, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:20:20 {'temperature': 8000, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:20:20 {'temperature': 8000, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:20:21 {'temperature': 8025, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:20:21 {'temperature': 8025, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:20:21 {'temperature': 8050, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:20:21 {'temperature': 8075, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:20:22 {'temperature': 8050, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:20:22 {'temperature': 8050, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:20:22 {'temperature': 8050, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:20:22 {'temperature': 8100, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:20:23 {'temperature': 8100, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:20:23 {'temperature': 8075, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:20:23 {'temperature': 8050, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:20:23 {'temperature': 8125, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:20:24 {'temperature': 8125, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:20:24 {'temperature': 8100, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:20:24 {'temperature': 8075, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:20:24 {'temperature': 8075, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:20:25 {'temperature': 8125, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:20:25 {'temperature': 8150, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:20:25 {'temperature': 8100, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:20:25 {'temperature': 8150, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:20:26 {'temperature': 8125, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:20:26 {'temperature': 8100, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:20:26 {'temperature': 8150, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:20:26 {'temperature': 8100, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:20:27 {'temperature': 8175, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:20:27 {'temperature': 8175, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:20:27 {'temperature': 8150, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:20:27 {'temperature': 8175, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:20:28 {'temperature': 8200, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:20:28 {'temperature': 8150, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:20:28 {'temperature': 8200, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:20:28 {'temperature': 8200, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:20:29 {'temperature': 8200, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:20:29 {'temperature': 8150, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:20:29 {'temperature': 8175, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:20:29 {'temperature': 8200, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:20:30 {'temperature': 8175, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:20:30 {'temperature': 8225, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:20:30 {'temperature': 8200, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:20:30 {'temperature': 8225, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:20:31 {'temperature': 8200, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:20:31 {'temperature': 8175, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:20:31 {'temperature': 8200, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:20:31 {'temperature': 8150, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:20:32 {'temperature': 8200, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:20:32 {'temperature': 8150, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:20:32 {'temperature': 8200, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:20:32 {'temperature': 8175, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:20:33 {'temperature': 8175, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:20:33 {'temperature': 8175, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:20:33 {'temperature': 8225, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:20:33 {'temperature': 8200, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:20:34 {'temperature': 8200, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:20:34 {'temperature': 8175, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:20:34 {'temperature': 8200, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:20:34 {'temperature': 8225, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:20:35 {'temperature': 8200, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:20:35 {'temperature': 8200, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:20:35 {'temperature': 8225, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:20:35 {'temperature': 8225, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:20:36 {'temperature': 8200, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:20:36 {'temperature': 8200, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:20:36 {'temperature': 8175, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:20:36 {'temperature': 8200, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:20:37 {'temperature': 8250, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:20:37 {'temperature': 8150, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:20:37 {'temperature': 8125, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:20:37 {'temperature': 8175, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:20:38 {'temperature': 8150, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:20:38 {'temperature': 8175, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:20:38 {'temperature': 8100, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:20:38 {'temperature': 8175, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:20:39 {'temperature': 8100, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:20:39 {'temperature': 8125, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:20:39 {'temperature': 8100, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:20:39 {'temperature': 8075, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:20:40 {'temperature': 8100, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:20:40 {'temperature': 8100, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:20:40 {'temperature': 8075, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:20:40 {'temperature': 8100, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:20:41 {'temperature': 8050, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:20:41 {'temperature': 8025, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:20:41 {'temperature': 8025, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:20:41 {'temperature': 8075, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:20:42 {'temperature': 8050, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:20:42 {'temperature': 8025, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:20:42 {'temperature': 8000, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:20:42 {'temperature': 8025, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:20:43 {'temperature': 7975, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:20:43 {'temperature': 8000, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:20:43 {'temperature': 7950, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:20:43 {'temperature': 8000, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:20:44 {'temperature': 7925, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:20:44 {'temperature': 7975, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:20:44 {'temperature': 7950, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:20:44 {'temperature': 7975, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:20:45 {'temperature': 7975, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:20:45 {'temperature': 7875, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:20:45 {'temperature': 7950, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:20:45 {'temperature': 7975, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
2024-07-07 17:20:46 {'temperature': 8000, 'humidity': 0, 'current': 0, 'voltage': 0, 'loadcell': 0}
