2024-07-23 19:31:34 {'x_pos': -7, 'y_pos': 3, 't_pos': -5076, 'x_vel': -1, 'y_vel': -1, 't_vel': -3903}
2024-07-23 19:31:34 {'yaw': 3599, 'pitch': 16, 'roll': 28, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-23 19:31:34 {'x_pos': -7, 'y_pos': 3, 't_pos': -5076, 'x_vel': -1, 'y_vel': -1, 't_vel': -3903}
2024-07-23 19:31:34 {'yaw': 3599, 'pitch': 16, 'roll': 28, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-23 19:31:34 {'x_pos': -7, 'y_pos': 3, 't_pos': -5076, 'x_vel': -1, 'y_vel': -1, 't_vel': -3903}
2024-07-23 19:31:34 {'yaw': 3599, 'pitch': 16, 'roll': 28, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-23 19:31:34 {'x_pos': -7, 'y_pos': 3, 't_pos': -5076, 'x_vel': -1, 'y_vel': -1, 't_vel': -3903}
2024-07-23 19:31:34 {'yaw': 3599, 'pitch': 16, 'roll': 28, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-23 19:31:34 {'x_pos': -7, 'y_pos': 3, 't_pos': -5076, 'x_vel': -1, 'y_vel': -1, 't_vel': -3903}
2024-07-23 19:31:34 {'yaw': 3599, 'pitch': 16, 'roll': 28, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-23 19:31:34 {'x_pos': -7, 'y_pos': 3, 't_pos': -5076, 'x_vel': -1, 'y_vel': -1, 't_vel': -3903}
2024-07-23 19:31:34 {'yaw': 3599, 'pitch': 16, 'roll': 28, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -4}
2024-07-23 19:31:34 {'x_pos': -7, 'y_pos': 3, 't_pos': -5076, 'x_vel': -1, 'y_vel': -1, 't_vel': -3903}
2024-07-23 19:31:34 {'yaw': 3599, 'pitch': 16, 'roll': 28, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-23 19:31:34 {'x_pos': -7, 'y_pos': 3, 't_pos': -5076, 'x_vel': -1, 'y_vel': -1, 't_vel': -3903}
2024-07-23 19:31:34 {'yaw': 3599, 'pitch': 16, 'roll': 28, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -4}
2024-07-23 19:31:34 {'x_pos': -7, 'y_pos': 3, 't_pos': -5076, 'x_vel': -1, 'y_vel': -1, 't_vel': -3903}
2024-07-23 19:31:34 {'yaw': 3599, 'pitch': 16, 'roll': 28, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-23 19:31:34 {'x_pos': -7, 'y_pos': 3, 't_pos': -5076, 'x_vel': -1, 'y_vel': -1, 't_vel': -3903}
2024-07-23 19:31:34 {'yaw': 3599, 'pitch': 16, 'roll': 28, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-23 19:31:34 {'x_pos': -7, 'y_pos': 3, 't_pos': -5076, 'x_vel': -1, 'y_vel': -1, 't_vel': -3903}
