2024-07-23 17:20:49 {'x_pos': 1, 'y_pos': 0, 't_pos': 360, 'x_vel': 0, 'y_vel': 1, 't_vel': -450}
2024-07-23 17:20:49 {'yaw': 0, 'pitch': 0, 'roll': 0, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': 0}
2024-07-23 17:20:50 {'x_pos': 1, 'y_pos': 0, 't_pos': 1035, 'x_vel': 0, 'y_vel': 1, 't_vel': -675}
2024-07-23 17:20:50 {'yaw': 3596, 'pitch': 13, 'roll': 31, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-23 17:20:50 {'x_pos': 1, 'y_pos': 0, 't_pos': 1440, 'x_vel': 2, 'y_vel': 0, 't_vel': -495}
2024-07-23 17:20:50 {'yaw': 3598, 'pitch': 13, 'roll': 30, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-23 17:20:50 {'x_pos': 1, 'y_pos': 0, 't_pos': 1440, 'x_vel': 2, 'y_vel': 0, 't_vel': -495}
2024-07-23 17:20:50 {'yaw': 3598, 'pitch': 13, 'roll': 30, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-23 17:20:51 {'x_pos': 1, 'y_pos': 0, 't_pos': 1440, 'x_vel': 2, 'y_vel': 0, 't_vel': -495}
2024-07-23 17:20:51 {'yaw': 3598, 'pitch': 13, 'roll': 30, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-23 17:20:51 {'x_pos': 1, 'y_pos': 0, 't_pos': 1575, 'x_vel': 0, 'y_vel': -1, 't_vel': -315}
2024-07-23 17:20:51 {'yaw': 3598, 'pitch': 13, 'roll': 30, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-23 17:20:51 {'x_pos': 1, 'y_pos': 0, 't_pos': 1575, 'x_vel': 0, 'y_vel': -1, 't_vel': -315}
2024-07-23 17:20:51 {'yaw': 3598, 'pitch': 13, 'roll': 30, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-23 17:20:52 {'x_pos': 1, 'y_pos': 0, 't_pos': 1575, 'x_vel': 0, 'y_vel': -1, 't_vel': -315}
2024-07-23 17:20:52 {'yaw': 3598, 'pitch': 13, 'roll': 30, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-23 17:20:52 {'x_pos': 1, 'y_pos': 0, 't_pos': 1575, 'x_vel': 0, 'y_vel': -1, 't_vel': -315}
2024-07-23 17:20:52 {'yaw': 3598, 'pitch': 13, 'roll': 30, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -4}
2024-07-23 17:20:52 {'x_pos': 1, 'y_pos': 0, 't_pos': 1575, 'x_vel': 0, 'y_vel': -1, 't_vel': -315}
2024-07-23 17:20:52 {'yaw': 3598, 'pitch': 13, 'roll': 30, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-23 17:20:52 {'x_pos': 1, 'y_pos': 0, 't_pos': 1575, 'x_vel': 0, 'y_vel': -1, 't_vel': -315}
2024-07-23 17:20:52 {'yaw': 3598, 'pitch': 13, 'roll': 30, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-23 17:20:53 {'x_pos': 1, 'y_pos': 0, 't_pos': 1575, 'x_vel': 0, 'y_vel': -1, 't_vel': -315}
2024-07-23 17:20:53 {'yaw': 3598, 'pitch': 13, 'roll': 30, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-23 17:20:53 {'x_pos': 1, 'y_pos': 0, 't_pos': 1575, 'x_vel': 0, 'y_vel': -1, 't_vel': -315}
2024-07-23 17:20:53 {'yaw': 3598, 'pitch': 13, 'roll': 30, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-23 17:20:53 {'x_pos': 1, 'y_pos': 0, 't_pos': 1575, 'x_vel': 0, 'y_vel': -1, 't_vel': -315}
2024-07-23 17:20:53 {'yaw': 3598, 'pitch': 13, 'roll': 30, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-23 17:20:54 {'x_pos': 1, 'y_pos': 0, 't_pos': 1575, 'x_vel': 0, 'y_vel': -1, 't_vel': -315}
2024-07-23 17:20:54 {'yaw': 3598, 'pitch': 13, 'roll': 30, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-23 17:20:54 {'x_pos': 1, 'y_pos': 0, 't_pos': 1575, 'x_vel': 0, 'y_vel': -1, 't_vel': -315}
2024-07-23 17:20:54 {'yaw': 3598, 'pitch': 13, 'roll': 30, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-23 17:20:54 {'x_pos': 1, 'y_pos': 0, 't_pos': 1575, 'x_vel': 0, 'y_vel': -1, 't_vel': -315}
2024-07-23 17:20:54 {'yaw': 3598, 'pitch': 13, 'roll': 30, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -4}
2024-07-23 17:20:55 {'x_pos': 1, 'y_pos': 0, 't_pos': 1575, 'x_vel': 0, 'y_vel': -1, 't_vel': -315}
2024-07-23 17:20:55 {'yaw': 3598, 'pitch': 13, 'roll': 30, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-23 17:20:55 {'x_pos': 1, 'y_pos': 0, 't_pos': 1575, 'x_vel': 0, 'y_vel': -1, 't_vel': -315}
2024-07-23 17:20:55 {'yaw': 3598, 'pitch': 13, 'roll': 30, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-23 17:20:55 {'x_pos': 1, 'y_pos': 0, 't_pos': 1575, 'x_vel': 0, 'y_vel': -1, 't_vel': -315}
2024-07-23 17:20:55 {'yaw': 3598, 'pitch': 13, 'roll': 30, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-23 17:20:55 {'x_pos': 1, 'y_pos': 0, 't_pos': 1575, 'x_vel': 0, 'y_vel': -1, 't_vel': -315}
2024-07-23 17:20:55 {'yaw': 3598, 'pitch': 13, 'roll': 30, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -4}
2024-07-23 17:20:56 {'x_pos': 1, 'y_pos': 0, 't_pos': 1575, 'x_vel': 0, 'y_vel': -1, 't_vel': -315}
2024-07-23 17:20:56 {'yaw': 3598, 'pitch': 13, 'roll': 30, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
2024-07-23 17:20:56 {'x_pos': 1, 'y_pos': 0, 't_pos': 1575, 'x_vel': 0, 'y_vel': -1, 't_vel': -315}
2024-07-23 17:20:56 {'yaw': 3598, 'pitch': 13, 'roll': 30, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -5}
