2024-07-07 20:00:01 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 1038, 'loadcell': 0}
2024-07-07 20:00:02 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 89, 'loadcell': 0}
2024-07-07 20:00:03 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 1032, 'loadcell': 0}
2024-07-07 20:00:04 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 86, 'loadcell': 0}
2024-07-07 20:00:05 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 1020, 'loadcell': 0}
2024-07-07 20:00:06 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 82, 'loadcell': 0}
2024-07-07 20:00:07 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 1039, 'loadcell': 0}
2024-07-07 20:00:08 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 93, 'loadcell': 0}
2024-07-07 20:00:09 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 1077, 'loadcell': 0}
2024-07-07 20:00:10 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 92, 'loadcell': 0}
2024-07-07 20:00:11 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 1036, 'loadcell': 0}
2024-07-07 20:00:12 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 79, 'loadcell': 0}
2024-07-07 20:00:13 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 872, 'loadcell': 0}
2024-07-07 20:00:14 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 192, 'loadcell': 0}
2024-07-07 20:00:15 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 757, 'loadcell': 0}
2024-07-07 20:00:16 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 455, 'loadcell': 0}
2024-07-07 20:00:17 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 352, 'loadcell': 0}
2024-07-07 20:00:18 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 921, 'loadcell': 0}
2024-07-07 20:00:19 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 123, 'loadcell': 0}
2024-07-07 20:00:20 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 1076, 'loadcell': 0}
2024-07-07 20:04:34 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 375, 'loadcell': 0}
2024-07-07 20:04:35 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 382, 'loadcell': 0}
2024-07-07 20:04:36 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 379, 'loadcell': 0}
2024-07-07 20:04:37 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 372, 'loadcell': 0}
2024-07-07 20:04:38 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 384, 'loadcell': 0}
2024-07-07 20:04:38 {'temperature': 0, 'humidity': 0, 'current': 0, 'voltage': 377, 'loadcell': 0}
